"Control Part","OSCAL_ID","ParamifiedProse"
"SCN-06","scn-06_smt","All parties SHOULD follow FedRAMP's best practices and technical assistance on significant change assessment and notification where applicable."
"SCN-07","scn-07_smt","Providers MAY notify necessary parties in a variety of ways as long as the mechanism for notification is clearly documented and easily accessible."
"SCN-08","scn-08_smt","Providers MUST make ALL Significant Change Notifications and related audit records available in similar human-readable and compatible machine-readable formats."
"SCN-09","scn-09_smt","Providers MUST include at least the following information in Significant Change Notifications:
• Service Offering FedRAMP ID
• Assessor Name (if applicable)
• Related POA&M (if applicable)
• Significant Change type and explanation of categorization
• Short description of change
• Reason for change
• Summary of customer impact, including changes to services and customer configuration responsibilities
• Plan and timeline for the change, including for the verification, assessment, and/or validation of impacted Key Security Indicators or controls
• Copy of the business or security impact analysis
• Name and title of approver"
"SCN-10","scn-10_smt","Providers MAY include additional relevant information in Significant Change Notifications."
"SCN-RR-01","scn-RR-01_smt","Providers SHOULD NOT make formal Significant Change Notifications for routine recurring changes; this type of change is exempted from the notification requirements of this process."
"SCN-AD-01","scn-AD-01_smt","Providers MUST notify all necessary parties within ten business days after finishing adaptive changes, also including the following information:
• Summary of any new risks identified and/or POA&Ms resulting from the change (if applicable)"
"SCN-TR-01","scn-TR-01_smt","Providers SHOULD engage a third-party assessor to review the scope and impact of the planned change before starting transformative changes if human validation is necessary. This review SHOULD be limited to security decisions that require human validation. Providers MUST document this decision and justification."
"SCN-TR-02","scn-TR-02_smt","Providers MUST notify all necessary parties of initial plans for transformative changes at least 30 business days before starting transformative changes."
"SCN-TR-03","scn-TR-03_smt","Providers MUST notify all necessary parties of final plans for transformative changes at least 10 business days before starting transformative changes."
"SCN-TR-04","scn-TR-04_smt","Providers MUST notify all necessary parties within 5 business days after finishing transformative changes, also including the following information:
• Updates to all previously sent information"
"SCN-TR-05","scn-TR-05_smt","Providers MUST notify all necessary parties within 5 business days after completing the verification, assessment, and/or validation of transformative changes, also including the following information:
• Updates to all previously sent information
• Summary of any new risks identified and/or POA&Ms resulting from the change (if applicable)
• Copy of the security assessment report (if applicable)"
"SCN-TR-06","scn-TR-06_smt","Providers MUST publish updated service documentation and other materials to reflect transformative changes within 30 business days after finishing transformative changes."
"SCN-TR-07","scn-TR-07_smt","Providers MUST allow agency customers to OPT OUT of transformative changes whenever feasible."
"SCN-IM-01","scn-IM-01_smt","Providers MUST follow the legacy Significant Change Request process or full re-authorization for impact categorization changes, with advance approval from an identified lead agency, until further notice."
"SCN-EX-01","scn-EX-01_smt","Providers MAY be required to delay significant changes beyond the standard Significant Change Notification period and/or submit significant changes for approval in advance as a condition of a formal FedRAMP Corrective Action Plan or other agreement."
"SCN-EX-02","scn-EX-02_smt","Providers MAY execute significant changes (including transformative changes) during an emergency or incident without meeting Significant Change Notification requirements in advance ONLY if absolutely necessary. In such emergencies, providers MUST follow all relevant procedures, notify all necessary parties, retroactively provide all Significant Change Notification materials, and complete appropriate assessment after the incident."
"UCM-01","ucm-01_smt","Providers MUST document the cryptographic modules used in each service (or groups of services that use the same modules) where cryptographic services are used to protect federal customer data, including whether these modules are validated under the NIST Cryptographic Module Validation Program or are update streams of such modules."
"UCM-02","ucm-02_smt","Providers SHOULD configure agency tenants by default to use cryptographic services that use cryptographic modules or update streams of cryptographic modules with active validations under the NIST Cryptographic Module Validation Program when such modules are available."
"UCM-03","ucm-03_smt","Providers SHOULD use cryptographic modules or update streams of cryptographic modules with active validations under the NIST Cryptographic Module Validation Program when using cryptographic services to protect federal customer data."
"UCM-04","ucm-04_smt","Providers MUST use cryptographic modules or update streams of cryptographic modules with active validations under the NIST Cryptographic Module Validation Program when using cryptographic services to protect federal customer data."
"VDR-01","vdr-01_smt","Providers MUST systematically, persistently, and promptly discover and identify vulnerabilities within their cloud service offering using appropriate techniques such as assessment, scanning, threat intelligence, vulnerability disclosure mechanisms, bug bounties, supply chain monitoring, and other relevant capabilities; this process is called vulnerability detection."
"VDR-02","vdr-02_smt","Providers MUST systematically, persistently, and promptly track, evaluate, monitor, mitigate, remediate, assess exploitation of, report, and otherwise manage all detected vulnerabilities within their cloud service offering; this process is called vulnerability response."
"VDR-03","vdr-03_smt","Providers MUST follow the requirements and recommendations outlined in FRR-VDR-TF regarding timeframes for vulnerability detection and response."
"VDR-04","vdr-04_smt","Providers MAY sample effectively identical information resources, especially machine-based information resources, when performing vulnerability detection UNLESS doing so would decrease the efficiency or effectiveness of vulnerability detection."
"VDR-05","vdr-05_smt","Providers SHOULD evaluate detected vulnerabilities, considering the context of the cloud service offering, to identify logical groupings of affected information resources that may improve the efficiency and effectiveness of vulnerability response by consolidating further activity; requirements and recommendations in this process are then applied to these consolidated groupings of vulnerabilities instead of each individual detected instance."
"VDR-06","vdr-06_smt","Providers SHOULD evaluate detected vulnerabilities, considering the context of the cloud service offering, to determine if they are false positive vulnerabilities."
"VDR-07","vdr-07_smt","Providers MUST evaluate detected vulnerabilities, considering the context of the cloud service offering, to determine if they are likely exploitable vulnerabilities."
"VDR-08","vdr-08_smt","Providers MUST evaluate detected vulnerabilities, considering the context of the cloud service offering, to determine if they are internet-reachable vulnerabilities."
"VDR-09","vdr-09_smt","Providers MUST evaluate detected vulnerabilities, considering the context of the cloud service offering, to estimate the potential adverse impact of exploitation on government customers AND assign one of the following potential adverse impact ratings:"
"VDR-10","vdr-10_smt","Providers SHOULD consider at least the following factors when considering the context of the cloud service offering to evaluate detected vulnerabilities:
• **Criticality**: How important are the systems or information that might be impacted by the vulnerability?
• **Reachability**: How might a threat actor reach the vulnerability and how likely is that?
• **Exploitability**: How easy is it for a threat actor to exploit the vulnerability and how likely is that?
• **Detectability**: How easy is it for a threat actor to become aware of the vulnerability and how likely is that?
• **Prevalence**: How much of the cloud service offering is affected by the vulnerability?
• **Privilege**: How much privileged authority or access is granted or can be gained from exploiting the vulnerability?
• **Proximate Vulnerabilities**: How does this vulnerability interact with previously detected vulnerabilities, especially partially or fully mitigated vulnerabilities?_
• **Known Threats**: How might already known threats leverage the vulnerability and how likely is that?"
"VDR-11","vdr-11_smt","Providers MUST document the reason and resulting implications for their customers when choosing not to meet FedRAMP recommendations in this process; this documentation MUST be included in the authorization data for the cloud service offering."
"VDR-AY-01","vdr-AY-01_smt","If it is not possible to fully mitigate or remediate detected vulnerabilities, providers SHOULD instead partially mitigate vulnerabilities promptly, progressively, and persistently."
"VDR-AY-02","vdr-AY-02_smt","Providers SHOULD make design and architecture decisions for their cloud service offering that mitigate the risk of vulnerabilities by default AND decrease the risk and complexity of vulnerability detection and response."
"VDR-AY-03","vdr-AY-03_smt","Providers SHOULD use automated services to improve and streamline vulnerability detection and response."
"VDR-AY-04","vdr-AY-04_smt","Providers SHOULD automatically perform vulnerability detection on representative samples of new or significantly changed information resources."
"VDR-AY-05","vdr-AY-05_smt","Providers SHOULD NOT weaken the security of information resources to facilitate vulnerability scanning or assessment activities."
"VDR-AY-06","vdr-AY-06_smt","Providers SHOULD NOT deploy or otherwise activate new machine-based information resources with Known Exploited Vulnerabilities."
"VDR-RP-01","vdr-RP-01_smt","Providers MUST report vulnerability detection and response activity to all necessary parties persistently, summarizing ALL activity since the previous report; these reports are authorization data and are subject to the FedRAMP Authorization Data Sharing (ADS) process."
"VDR-RP-02","vdr-RP-02_smt","Providers SHOULD include high-level overviews of ALL vulnerability detection and response activities conducted during this period for the cloud service offering;_ this includes vulnerability disclosure programs, bug bounty programs, penetration testing, assessments, etc."
"VDR-RP-03","vdr-RP-03_smt","Providers MUST NOT irresponsibly disclose specific sensitive information about vulnerabilities that would likely lead to exploitation, but MUST disclose sufficient information for informed risk-based decision-making to all necessary parties."
"VDR-RP-04","vdr-RP-04_smt","Providers MAY responsibly disclose vulnerabilities publicly or with other parties if the provider determines doing so will NOT likely lead to exploitation."
"VDR-RP-05","vdr-RP-05_smt","Providers MUST include the following information (if applicable) on detected vulnerabilities when reporting on vulnerability detection and response activity, UNLESS it is an accepted vulnerability:
• Provider's internally assigned tracking identifier
• Time and source of the detection
• Time of completed evaluation
• Is it an internet-reachable vulnerability or not?
• Is it a likely exploitable vulnerability or not?
• Historically and currently estimated potential adverse impact of exploitation
• Time and level of each completed and evaluated reduction in potential adverse impact
• Estimated time and target level of next reduction in potential adverse impact
• Is it currently or is it likely to become an overdue vulnerability or not? If so, explain.
• Any supplementary information the provider responsibly determines will help federal agencies assess or mitigate the risk to their federal customer data within the cloud service offering resulting from the vulnerability
• Final disposition of the vulnerability"
"VDR-RP-06","vdr-RP-06_smt","Providers MUST include the following information on accepted vulnerabilities when reporting on vulnerability detection and response activity:
• Provider's internally assigned tracking identifier
• Time and source of the detection
• Time of completed evaluation
• Is it an internet-reachable vulnerability or not?
• Is it a likely exploitable vulnerability or not?
• Currently estimated potential adverse impact of exploitation
• Explanation of why this is an accepted vulnerability
• Any supplementary information the provider determines will responsibly help federal agencies assess or mitigate the risk to their federal customer data within the cloud service offering resulting from the accepted vulnerability"
"VDR-EX-01","vdr-EX-01_smt","Providers MAY be required to share additional vulnerability information, alternative reports, or to report at an alternative frequency as a condition of a FedRAMP Corrective Action Plan or other agreements with federal agencies."
"VDR-EX-02","vdr-EX-02_smt","Providers MAY be required to provide additional information or details about vulnerabilities, including sensitive information that would likely lead to exploitation, as part of review, response or investigation by necessary parties."
"VDR-EX-03","vdr-EX-03_smt","Providers MUST NOT use this process to reject requests for additional information from necessary parties which also include law enforcement, Congress, and Inspectors General."
"VDR-TF-01","vdr-TF-01_smt","Providers MUST report vulnerability detection and response activity to all necessary parties in a consistent format that is human readable at least monthly."
"VDR-TF-02","vdr-TF-02_smt","Providers SHOULD remediate Known Exploited Vulnerabilities according to the due dates in the CISA Known Exploited Vulnerabilities Catalog (even if the vulnerability has been fully mitigated) as required by CISA Binding Operational Directive (BOD) 22-01 or any successor guidance from CISA."
"VDR-TF-03","vdr-TF-03_smt","Providers MUST categorize any vulnerability that is not or will not be fully mitigated or remediated within 192 days of evaluation as an accepted vulnerability."
"VDR-TF-LO-01","vdr-TF-LO-01_smt","Providers SHOULD make all recent historical vulnerability detection and response activity available in a machine-readable format for automated retrieval by all necessary parties (e.g. using an API service or similar); this information SHOULD be updated persistently, at least once every month."
"VDR-TF-LO-02","vdr-TF-LO-02_smt","Providers SHOULD persistently perform vulnerability detection on representative samples of similar machine-based information resources, at least once every week."
"VDR-TF-LO-03","vdr-TF-LO-03_smt","Providers SHOULD persistently perform vulnerability detection on all information resources that are likely to drift, at least once every month."
"VDR-TF-LO-04","vdr-TF-LO-04_smt","Providers SHOULD persistently perform vulnerability detection on all information resources that are NOT likely to drift, at least once every six months."
"VDR-TF-LO-05","vdr-TF-LO-05_smt","Providers SHOULD evaluate ALL vulnerabilities as required by FRR-VDR-07, FRR-VDR-08, and FRR-VDR-09 within 7 days of detection."
"VDR-TF-LO-06","vdr-TF-LO-06_smt","Providers SHOULD partially mitigate, fully mitigate,_ or remediate vulnerabilities to a lower potential adverse impact within the timeframes from evaluation shown below (in days), factoring for the current potential adverse impact, internet reachability,_ and likely exploitability:"
"VDR-TF-LO-07","vdr-TF-LO-07_smt","Providers SHOULD mitigate or remediate remaining vulnerabilities during routine operations as determined necessary by the provider."
"VDR-TF-MO-01","vdr-TF-MO-01_smt","Providers SHOULD make all recent historical vulnerability detection and response activity available in a machine-readable format for automated retrieval by all necessary parties (e.g. using an API service or similar); this information SHOULD be updated persistently, at least once every 14 days."
"VDR-TF-MO-02","vdr-TF-MO-02_smt","Providers SHOULD persistently perform vulnerability detection on representative samples of similar machine-based information resources, at least once every 3 days."
"VDR-TF-MO-03","vdr-TF-MO-03_smt","Providers SHOULD persistently perform vulnerability detection on all information resources that are likely to drift, at least once every 14 days."
"VDR-TF-MO-04","vdr-TF-MO-04_smt","Providers SHOULD persistently perform vulnerability detection on all information resources that are NOT likely to drift, at least once per month."
"VDR-TF-MO-05","vdr-TF-MO-05_smt","Providers SHOULD evaluate ALL vulnerabilities as required by FRR-VDR-07, FRR-VDR-08, and FRR-VDR-09 within 5 days of detection."
"VDR-TF-MO-06","vdr-TF-MO-06_smt","Providers SHOULD treat internet-reachable likely exploitable vulnerabilities with a potential adverse impact of N4 or N5 as a security incident until they are partially mitigated to N3 or below."
"VDR-TF-MO-07","vdr-TF-MO-07_smt","Providers SHOULD partially mitigate, fully mitigate,_ or remediate vulnerabilities to a lower potential adverse impact within the timeframes from evaluation shown below, factoring for the current potential adverse impact, internet reachability,_ and likely exploitability:"
"VDR-TF-MO-08","vdr-TF-MO-08_smt","Providers SHOULD mitigate or remediate remaining vulnerabilities during routine operations as determined necessary by the provider."
"VDR-TF-HI-01","vdr-TF-HI-01_smt","Providers SHOULD make all recent historical vulnerability detection and response activity available in a machine-readable format for automated retrieval by all necessary parties (e.g. using an API service or similar); this information SHOULD be updated persistently, at least once every 7 days."
"VDR-TF-HI-02","vdr-TF-HI-02_smt","Providers SHOULD persistently perform vulnerability detection on representative samples of similar machine-based information resources, at least once per day."
"VDR-TF-HI-03","vdr-TF-HI-03_smt","Providers SHOULD persistently perform vulnerability detection on all information resources that are likely to drift, at least once every 7 days."
"VDR-TF-HI-04","vdr-TF-HI-04_smt","Providers SHOULD persistently perform vulnerability detection on all information resources that are NOT likely to drift, at least once every month."
"VDR-TF-HI-05","vdr-TF-HI-05_smt","Providers SHOULD evaluate ALL vulnerabilities as required by FRR-VDR-07, FRR-VDR-08, and FRR-VDR-09 within 2 days of detection."
"VDR-TF-HI-06","vdr-TF-HI-06_smt","Providers SHOULD treat internet-reachable likely exploitable vulnerabilities with a potential adverse impact of N4 or N5 as a security incident until they are partially mitigated to N3 or below."
"VDR-TF-HI-07","vdr-TF-HI-07_smt","Providers SHOULD treat likely exploitable vulnerabilities that are NOT internet-reachable with a potential adverse impact of N5 as a security incident until they are partially mitigated to N4 or below."
"VDR-TF-HI-08","vdr-TF-HI-08_smt","Providers SHOULD partially mitigate vulnerabilities to a lower potential adverse impact within the maximum time-frames from evaluation shown below, factoring for the current potential adverse impact, internet reachability,_ and likely exploitability:"
"VDR-TF-HI-09","vdr-TF-HI-09_smt","Providers SHOULD mitigate or remediate remaining vulnerabilities during routine operations as determined necessary by the provider."
"VDR-AG-01","vdr-AG-01_smt","Agencies SHOULD review the information provided in vulnerability reports at appropriate and reasonable intervals commensurate with the expectations and risk posture indicated by their Authorization to Operate, and SHOULD use automated processing and filtering of machine readable information from cloud service providers."
"VDR-AG-02","vdr-AG-02_smt","Agencies SHOULD use vulnerability information reported by the Provider to maintain Plans of Action & Milestones for agency security programs when relevant according to agency security policies (such as if the agency takes action to mitigate the risk of exploitation or authorized the continued use of a cloud service with accepted vulnerabilities that put agency information systems at risk)."
"VDR-AG-03","vdr-AG-03_smt","Agencies SHOULD NOT request additional information from cloud service providers that is not required by this FedRAMP process UNLESS the head of the agency or an authorized delegate makes a determination that there is a demonstrable need for such."
"VDR-AG-04","vdr-AG-04_smt","Agencies MUST inform FedRAMP after requesting any additional vulnerability information or materials from a cloud service provider beyond those FedRAMP requires by sending a notification to [info@fedramp.gov](mailto:info@fedramp.gov)."
